Comment,Label,Language
নিজেরাই  উড়ে  গেছে।,Negative,BANGLA
কিরে চান্দ তুই কয় গেলি,Negative,BANGLA
এখন কোথায়  তোমরা 😊😊😊।আমরা ফু দেওয়ার আগেই তোমরা উড়ে গেলা😋😏🤔,Negative,BANGLA
ছাত্রলীগরা এত সহজেই হেরে যায় না। তারা বার বার ফিরে আস আনসার এবং ডাকাত হয়ে😅😅,Negative,BANGLA
আদু ভাই সাদ্দাম  কই যেইখানে  পাওয়া সেইখানে গণধোলাইয় হবে আদু ভাই কে😂,Negative,BANGLA
ছি ছি ছি।ছাত্রলীগ নিষিদ্ধ হোক,Negative,BANGLA
কোথায় গেছেন ভাই আপনারা   ছাত্রলীগ আয়না সামনে,Negative,BANGLA
আঙ্কেল রা কোথায় এসো রাত ১২ বাজে খাট কাঁপানো হবে,Negative,BANGLA
ঘেও ঘেও লিগ,Negative,BANGLA
এরা কোথায় পাবলিক জানতে চাই,Negative,BANGLA
ফাশি চাই,Negative,BANGLA
"আয়না ঘরে রাখা হবে,",Negative,BANGLA
ওদের দরকার  নাই ওরা অন্য দেশের লোক।,Negative,BANGLA
আয় ডাইনি,Negative,BANGLA
অনটি আপনি আসেন,Negative,BANGLA
রক্তের বিনিময়ে পাওয়া এই বাংলাদেশ এটা কারো বাপের সম্পত্তি না,Positive,BANGLA
হাসিনার বিচার চাই শত শত হাজার হাজার মানুষ হততা করেছে ওর বাংলায় কোনো ঠাই নাই,Negative,BANGLA
"তোমার বাবার দেশ,, আর আমরা তো ভাড়া থাকি বাংলাদেশে!!! দেশের ৪ ভাগের ৩ ভাগ তো বিক্রি কোরে দিয়েছো,,, টাকা পয়সা সব লুটেপুটে খেয়েছো,হাজার হাজার গনহত্যা কোরেছো,হাজার হাজার মায়ের কোল খালি কোরেছো,,তোমার বিচার হবে এই বাংলার মাটিতেই,, রেডি থাকো, খেলা হবে আয়না ঘরে।",Negative,BANGLA
কেসিনো সম্রাট সাকিবুল হাসান ওকে বয় কোড করলাম,Negative,BANGLA
শেখ হাসিনা বাচবে কি মরবে আল্লাহ ভালো যানে..কারণ বাবার দেশ হোক জনগনের দেশ হোক মৃত্যু সবার দরজায় আসবে আজ না হয় কাল..কি বলেন সবাই,Negative,BANGLA
বাংলায় বলেন আমরা বাংলা বুঝি,Positive,BANGLA
"বাংলাদেশের জনগন আর বোকা নেই যে  
এতো বড়ো গনহত্যাকারিকে খমা করেদেবে",Positive,BANGLA
শরম নাই রে,Negative,BANGLA
ক্ষমার অযোগ্য,Negative,BANGLA
এরা যেনো বাংলাদেশ ঢুকতে না পারে ভাই।। এরা যেনো বাঁচার জন্য যায়গা খুঁজে।। এমন করতে হবে এদের,Negative,BANGLA
"আপা আপনি ভিন্ন মতাবলম্বী দেরকে বছরের পর বছর আয়না ঘরে রেখে যে ভাবে অত্যাচার ও নির্যাতন করেছেন, বাংলার মানুষ আপনার আসার অপেক্ষায় আছে। আপনাকে আয়না ঘরে রাখতে। তখনই আপনি বুঝবেন, আয়না ঘরের কি যন্ত্রণা",Negative,BANGLA
সাকিবকে আমরা দেখতে চাই না বাংলাদেশে,Negative,BANGLA
এই দালাল কে যদি আনা হয় তাহলে দেশের জনগণ হিসেবে বলছি ছাত্র সমাজ ভুল করছে,Negative,BANGLA
আমেরিকার শেষ দেখে ছাড়বো ইনশাল্লাহ,Negative,BANGLA
আপনি এতো তাড়াতাড়ি দেশ এ আইসেন না আগে আমেরিকার মোটিভেশন দেখেন কি করে তাড়া যে আমেরিকার জন্য আজকে আপনার এই অবস্থা,Positive,BANGLA
 জয় বাংলা জয় বঙ্গবন্ধু,Positive,BANGLA
"সাকিব আর বাংলাদেশের পক্ষে খেলা দুলা করতে হবে না 
জুতা পিটা করার দরকার",Negative,BANGLA
"আস কিসের বিচার পাবলিকের হাতে তুলে দিন
মাইরের উপরে কোন ঔষধ নাই",Negative,BANGLA
চোর চোর ভোট চোর🩰,Negative,BANGLA
শেখ হাসিনা কে আয়না ঘরে রাখার অনুরোধ,Negative,BANGLA
ফিরে আসতে হবে আপনাকে দেশের মাটিতেই সরকার হিসেবে দেখতে চাই।,Positive,BANGLA
শেখ হাসিনা সরকার বার বার দরকার,Positive,BANGLA
তুই আর দেশে আইস নারে,Negative,BANGLA
আসেন আয়না ঘর খালি আছে,Negative,BANGLA
আমি একট কথা বোঝিনা হাসিনা কি আল্লাহ কে ভয় করে না তাকে ও কবরে একদিন যাতে হবে আল্লাহ ছাড়া দায় ছেড়ে দেয়না,Positive,BANGLA
আহো আহো ছাত্ররা ফুকন্নি নিয়া বইয়া রইছে,Negative,BANGLA
"তোমার ভয় নেই মা,আমরা পতিবাদ করতে  জানি।",Positive,BANGLA
"এইবার আর পালাতে পারবানা সোনা,, তোমার এবার মৃত্যুর সাদ গ্রহন করতে চাইলে আসো😊",Negative,BANGLA
বাংলাদেশ কারো বাপের না,Positive,BANGLA
আমিন,Positive,BANGLA
ইনশাআল্লাহ ফিরে আসবেন আপনি,Positive,BANGLA
অর বাপ দেশ কিনছে এটা অর দেশ আমরা ভারাটিয়া,Negative,BANGLA
সাহস থাকলে দেশে থাকতে,Negative,BANGLA
"পদত্যাগ করা হয় 
সাকিবের পদত্যাগ 
হিমেশের কিছু ভাবে না অহংকার খাওয়া-দাওয়া পইড়া থাকে 

লেখাটা ভুল হলে সমাধান কে লিয়ে ধন্যবাদ",Negative,BANGLA
আসো আয়না ঘরে,Negative,BANGLA
সাকিব  বাদ দেওয়া  হক,Negative,BANGLA
ভালো ...........,Positive,BANGLA
আমরা আর সাকিবকে চাই না।  কারণ একটা সময় সাকিব তো রিটায়ার্ড করবে তখন কি বাংলাদেশ টিম খেলা জিতবে না? সাকিবকে ছাড়াও বাংলাদেশ টিম ভালোই চলবে। অন্তত বেইমানদের সাথে তো আর থাকা লাগবে না!! এরা বরাবরই জাতির সাথে বেইমানি করেছে এরা শুধু নিজের স্বার্থ আর অসুবিধা টুটুকুই বুঝি নেয়।।,Negative,BANGLA
শেখ হাসিনাকে দেশে আশার জন্য জোর দাবী জানাচ্ছি,Positive,BANGLA
ওনার বাবার কেনা  একান্ত দেশ,Negative,BANGLA
তুই আয় বাংলাদেশের প্রতিটি মানুষ তোর অপেক্ষায় আছে 👀,Negative,BANGLA
সাকিব ছাড়া বাংলাদেশ ক্রিকেট অচল,Positive,BANGLA
"ইতিহাসের সেরা স্বৈরাচারী শাসক ছিলা তুমি, তোমার তো স্বৈরাচারী ভাব থাকবেই।",Negative,BANGLA
তুমি আসো খেলা হবে,Negative,BANGLA
আহো হাসু আপা আহো😊,Negative,BANGLA
মুদির বউ আবার দেশে আসবে আসো দেশের মানুয রেড়ি আছে,Negative,BANGLA
আমি বাংলাদেশকে ভালোবাসি অমি শেখ হাসিনাকে ভালোবাসি❤❤❤,Positive,BANGLA
বাকি আছে দেশটা বিক্রি করার আসেন খালা সেটা করে জান আর আপনারে আমরা ছেরে দিবো,Negative,BANGLA
বাংলার জমিনে তোর মত ফেরাউনের ঠাঁই নাই। ইনশাআল্লাহ,Positive,BANGLA
যার লজ্জা নাই তার ঈমান নাই,Positive,BANGLA
জয় বাংলা জয় বঙ্গবন্ধু,Positive,BANGLA
তোমকে বিচারের সম্মুখীন হতেই হবে !!!!,Positive,BANGLA
হাসিনার জন্য আয়না ঘর অপেক্ষা করছে। হাসিনাকে দ্রুত আসতে হবে,Negative,BANGLA
আমার মত কে কে শেখ হাসিনাকে প্রধানমন্ত্রী হিসেবে দেখতে চান।,Positive,BANGLA
বাংলাদেশ একটি সন্ত্রাসী রাষ্ট্র,Negative,BANGLA
দেশে আইসে দেক তোরে কি করে জনগন,Negative,BANGLA
"আহো আহো আমরা রেডি আছি,,বহু মানুষ মেরেছিস তুই",Negative,BANGLA
জয় বাংলা জয় বঙ্গবন্ধু,Positive,BANGLA
আই আয়নাঘর রেডি আছে,Negative,BANGLA
বুবু তুমি কই আয়না ঘর  তোমার অপেখায় আছে কিলার বুবু,Negative,BANGLA
আল্লাহ সীমালঙ্ঘনকারীদের ছাড় দেন না,Positive,BANGLA
সাকিব এবং মাশরাফী এই দুই কালপিটের মুখ আমরা কোনদিন দেখতে চাই না,Negative,BANGLA
শেখ হাসিনা এই দেশ তোর বাপের না তোর বাপের হলে তুই এ রকম করতে পারতি না এখনো সময় আছে বালো হয়ে জা,Negative,BANGLA
শাকিব বোয়া খেলা জানে না একটা নুব  খেলোয়াড়,Negative,BANGLA
আপনি তাড়াতাড়ি ফিরে আসেন আয়নাঘর আপনার জন্য অপেক্ষা করছে।,Negative,BANGLA
জনগণ তোমাকে দেশে দেখতে চায় বালু মেখে রেডি আছে,Negative,BANGLA
জয় বাংলা জয় বঙ্গবন্ধু জয় শেখ হাসিনা,Positive,BANGLA
এখনো দেশ ওর বাবার ওর বাবা কয়জন,Negative,BANGLA
"এটা আমার বাবার দেশ
মনে হয় যেনো নিজের বাবা এই দেশ বানায়ছে 
মেন্টাল",Negative,BANGLA
"মরবেন তো একদিন , বাঁচলে বাঁচার মতো বাঁচো । না পালিয়ে বাংলা দেশে ফিরে যোদ্ধ করে  প্রতিরোধ করো ,  প্রয়োজনে প্রতিশোধ নেও , হয় জিত না হলে শহীদ হন ।",Positive,BANGLA
এদের কোনো ক্ষমা নাই।,Positive,BANGLA
তোমাকে আসতেই হবে,Positive,BANGLA
দেশে আসলে ডিম থেরাপি দেওয়া হবে🤣,Negative,BANGLA
শয়তান দূর হইছে!  আলহামদুলিল্লাহ,Positive,BANGLA
সাকিব বড় বাটপার,Negative,BANGLA
খু'নি কিলার,Negative,BANGLA
হাসিনা কে বাংলাদেশে এনে তার বিচার করতে হবেতাকে ফাঁশি দিতে হবে।,Positive,BANGLA
ভোয়া চ্যানেল।,Negative,BANGLA
আয় গজব দেশে,Negative,BANGLA
এই জারস এর বাচ্চা জারস সন্তান কিভাবে আবার কথা বলে,Negative,BANGLA
ওর মতো ক্রিকেটার আমাদের দরকার নাই,Negative,BANGLA
পিলখানা হত্যাকান্ডের বিচার চাই,Positive,BANGLA
যুগ্য নেএী ওনি আামাদের পাশে থাক আমরা চাই,Positive,BANGLA
"সাকিব মাশরাফি কে আজীবন নিষিদ্ধ করা হোক, আমার এটা চাই",Negative,BANGLA
দেশের সাথে গাদ্দারি করলে কোন ছাড় দেওয়া হবে না সে যেই হোক না কেন।,Positive,BANGLA
ত্রিশ হাজার শহীদের রক্তে কিনা  বাংলাদেশ কারো বাপের বিটা না,Positive,BANGLA
সাকিব ও মাশরাফি কে নিষিদ্ধ করা হোক।,Negative,BANGLA
শাকিব মাশরাফি রাজনীতি না করলে তাদের এই পরিণতি হতো না ।,Positive,BANGLA
"শেখ হাসিনা সরকার বাংলাদেশ বার বার দরকার,,, জয় বাংলা জয় বঙ্গবন্ধু",Positive,BANGLA
ইনশাআল্লাহ আসতেই হবে জয় বঙ্গবন্ধু জয় ম্যাডাম শেখ হাসিনা,Positive,BANGLA
এটা নাকি তার বাবার দেশ। আমরা তাহলে কি ভাড়াটিয়া,Negative,BANGLA
দেশে নিষিদ্ধ করা হোক,Negative,BANGLA
মানুষ লজ্জাশীল,Positive,BANGLA
মাফিয়া হাসিনা,Negative,BANGLA
এইজন্য নিজের হাতে  লক্ষ হাজার কোটি টাকা পাজার করেছিস,Negative,BANGLA
তাকে আয়নাঘরে রাখা হবে😂😂😂,Negative,BANGLA
বয়কট,Negative,BANGLA
আমরা চাই না,Negative,BANGLA
"ঠাকুমা তুমি খালি একবার দেশে আসো
আমাদের অনেক হিসাব এখনো বাকি আছে",Negative,BANGLA
দুই দিনের জন্য শাকিব মার সাপের অবদান ভুলে গেলেন,Negative,BANGLA
"স্বৈরাচার দেশ ছেরে পালিয়ে গেলি কেন 
বাংলাদেশের মানুষ এখন শান্তিতে আছে",Negative,BANGLA
"আমাদের দেশের মায়েদের  বুক ফাটা আর্তনাদ  বৃথা  যেতে দেওয়া হবে না,",Positive,BANGLA
তোর জন্য আয়না ঘর রেডি করি রাখছি তুই তাড়াতাড়ি দেশে আয়,Negative,BANGLA
তোকে। বাংলাদেশ  আসতে বলে,Negative,BANGLA
আসতে বল তোদের নেত্রীকে আমরা ভরে দেওয়া জন্য প্রস্তুত 😎,Negative,BANGLA
"আমরা তোমার বাবাকে অপমান করিনি,,",Positive,BANGLA
"যে যেমন আদা খাবে, ঝাল তো একটু পেতেই হবে তাইনা 😂😂😂😅😅😅😅",Negative,BANGLA
"যে দলের প্রধান নিজে বাঁচার জন্য কর্মী রেখে পালিয়ে যায়,সে দল নিয়ে গর্ব নয় লজ্জা করা উচিত।🤣",Negative,BANGLA
সাকিব অনেক অহংকারি। পদে এসে একজন সাধারন মানুষকে থাপ্পড় মেরেছে।,Negative,BANGLA
ক্ষমতা থাকলে অহংকার বেড়ে যায় আর যখন ক্ষমতা থাকেনা তখন নত আহ😤🥱,Negative,BANGLA
আয় তোর জন্য বাঁশ  রেডি আছে বাংলাদেশে,Negative,BANGLA
সাকিব ভালো লোক,Positive,BANGLA
দেশটা কারো বাপের না 😡😡,Negative,BANGLA
আহো আপা  আহো 😂😂😂,Negative,BANGLA
গণহত্যার কারণে তোমাদেরকে বিদেশ থেকে এনে তারপর বিচারের মাধ্যমে কঠিন শাস্তি প্রদান করা হবে।,Positive,BANGLA
আসেন আয়না ঘর তো রেডি,Negative,BANGLA
আমি একমত,Positive,BANGLA
৩০ লাখ শহীদের রক্তের বিনিময়ে এ বাংলাদেশ গড়া হয়েছে কারো বাপের দেশ না,Positive,BANGLA
চোরের মায়ের বড় গলা সাহস থাকলে দেশে আয়,Negative,BANGLA
ভুতের মুখে রাম রাম 😢😢😢,Negative,BANGLA
শেখ হাসিনা যদি দেশে আসা হবে গৃহযুদ্ধের দিকে যাবে দেশ!!!,Negative,BANGLA
"আয় তোর জন্য রেডি আছে,তোরি আয়না ঘর",Negative,BANGLA
এটা যদি হাসিনা র বাবার দেশ হয় তাহলে আমরা কি তোমাগো গোলাম,Negative,BANGLA
রক্ত পান করে পিপাসা মিটেনি আরো রক্ত লাগবো।,Negative,BANGLA
সাকিব এবং মাশরাফিকে আজীবন নিষিদ্ধ করা হোক।,Negative,BANGLA
বুবু তুমি আসো তোমার জন্য আয়নাঘর রেডি আছে,Negative,BANGLA
"ডাইনি আয়, সন্তান  হারা মা  রা তোর  জন্য  অপেক্ষা  করছে।",Negative,BANGLA
তুমি  একটু তাড়াতাড়ি আসো আসু আপা তোমার বিচার করতে হবে না তোমার শাস্তি তো এখন অনেক বাকি,Negative,BANGLA
তাড়াতাড়ি দেশে আসেন বাবু আয়না ঘর আপনার জন্য অপেক্ষা করতেছে,Negative,BANGLA
"Sheikh Hasina 💚
বিজয় আবার আসবে ইনশাআল্লাহ",Positive,BANGLA
"শাহস থাকলে ফিরে আয়, তোকে তোর বাপের কাছে পাঠাবো।",Negative,BANGLA
সর্বোচ্চ শাস্তি তাদের দেয়া হোক,Positive,BANGLA
হাসিনাকে  আবারও চাই,Positive,BANGLA
তোর কোনো মাফ নাই,Negative,BANGLA
শেখ হাসিনা কে বাংলাদেশের প্রধানমন্ত্রী চাই,Positive,BANGLA
আপনাকেই দরকার শেখ হাসিনা,Positive,BANGLA
ভারতের কোনো দালালের জায়গা হবে না।,Negative,BANGLA
দরকার নেই এমন সাকিব,Negative,BANGLA
তুমি আসো সকল হিসাব নেয়া হবে ডাইনি মহিলা,Negative,BANGLA
জয় বাংলা জয় বঙ্গবন্ধু ✊,Positive,BANGLA
❤  ইনশাআল্লাহ ঠিক বলছেন,Positive,BANGLA
আসেন আয়না ঘর রেডী আছে,Negative,BANGLA
সাকিবাল হাসানকে দল থেকে বহিস্কৃত করা হোক।,Negative,BANGLA
তোমাকে  আয়না ঘরে রাখতে হবে।,Negative,BANGLA
"রাইট আবার আসবে ইনশাল্লাহ,",Positive,BANGLA
আওয়ামী লীগ গোষ্ঠীদেরকে আজীবনের জন্য নিষিদ্ধ করা হোক এবং জোর দাবিও করছে,Negative,BANGLA
আয়!!!জনতা দফা রফা করবে!!,Negative,BANGLA
সাবাস জয় বাংলার নেত্রী।,Positive,BANGLA
আওয়ামী লীগ দলটাকে নিষিদ্ধ করা হোক এটা একটা সন্ত্রাসী দল,Negative,BANGLA
তুই দেশে আসলেই তোর খবর আছে।,Negative,BANGLA
চোরের মার বড়ো গলা 😂😂😂,Negative,BANGLA
"এই মহিলা একটা বিশ্ব বেহায়া। ছিঃ। আয় তুই, তোর বিচার হবে",Negative,BANGLA
আলহামদুলিল্লাহ ,Positive,BANGLA
জয় বাংলা জয় বঙ্গবন্ধু 🎉🎉,Positive,BANGLA
"দুর যা, দুর বেইমান। sa....",Negative,BANGLA
খেলোয়ারদের মধ্যে এই সাকিবকে সবচেয়ে স্বার্থপর মনে হয়।,Negative,BANGLA
জয় বাংলা,Positive,BANGLA
কোনো খমা নাই,Negative,BANGLA
এটা ভুয়া,Negative,BANGLA
"মাশরাফি শাকিব গ্যংরা লোভী, এদের বহিষ্কার করা উচিৎ ছিল।",Negative,BANGLA
সাকিবকে নিষিদ্ধ সময়ের দাবি।,Negative,BANGLA
ইনশাআল্লাহ,Positive,BANGLA
"মাননীয় প্রধানমন্ত্রী দেশরত্ন শেখ হাসিনার সরকার বার বার বার দরকার 
জয় বাংলা ",Positive,BANGLA
ইনশাআল্লাহ বাংলাদেশের জনগণ বুঝবে একদিন শেখ হাসিনাকে প্রয়োজন,Positive,BANGLA
"লজ্জা নাই, আসো তুমি গুম খুনের বিচার টা দেখতে চাই,",Negative,BANGLA
আমি আছি আপনার পাশে,Positive,BANGLA
দেশে আসবা কেন?  তুমি বুড়ো  বলে কি মোদি  তোমাকে  খায় না?,Negative,BANGLA
সাকিব মাশরাফি এ দুজনকে আমরা চাই না,Negative,BANGLA
অহংকারী সাকিবকে আমরা চাই না,Negative,BANGLA
মাশরাফিকে সুযোগ দেয়া উচিৎ।,Positive,BANGLA
হাসু নানি তুমি দ্রুত বাংলাদেশে চলে আসেন আপনার জন্য পুরা বাংলাদেশ অপেক্ষা করছে আপনাকে আপনার হায়না ঘরে ঢুকানোর জন্য,Negative,BANGLA
আল্লাহ আপনাকে হেদায়েত করুন,Positive,BANGLA
সাকিব আল হাসান হল একটা অহংকারি লুক,Negative,BANGLA
শালী 😅😅😅😅😅,Negative,BANGLA
যাদের মা নামক জান্নাতটা বেঁচে আছে তারাই আলহামদুলিল্লাহ বলি।,Positive,BANGLA
শেখ হাসিনা আপনাকে আমরা আবারও চাই,Positive,BANGLA
আপনি তাড়াতাড়ি  চলে আসেন আপনার জন্য আয়না ঘর খালি করা হয়েছে,Negative,BANGLA
বাংলাদেশে এসব বিশ্বাস ঘাতকের কোন প্রয়োজন নেই।,Positive,BANGLA
ডাইনী ডাইনী ডাইনীকে আর বাংলার মানুষ চাই না।,Negative,BANGLA
ওদের বিরুদ্ধে কঠোর ব্যবস্থা নেয়া হোক।,Positive,BANGLA
জনতা অপেক্ষায় গ্রহন করার জন্য,Positive,BANGLA
রট ডুকান হবে,Negative,BANGLA
আসো খেলা হবে সোনা,Negative,BANGLA
সাকিব কি নিষিদ্ধ করা হক,Negative,BANGLA
হাতে গড়া আয়না ঘর 😢😢😢😢😢😢😢😢😢,Negative,BANGLA
সাকিব কে বাদ দেওয়া হোক,Negative,BANGLA
কাপুরুষ শাকিব মাশরাফি বয়কট হোক,Negative,BANGLA
আয়না ঘরে থাকতে হবে তোকে,Negative,BANGLA
তোর বাপের দেশ না।  জনগণের দেশ।  বুঝলি।,Negative,BANGLA
আলহামদুলিল্লাহ!!  প্রিয় নেত্রীকে দেখেই মনটা ভালো হয়ে গেলো💜,Positive,BANGLA
রাইট,Positive,BANGLA
আস বাশ রেডী,Negative,BANGLA
ঠিক,Positive,BANGLA
এতো সাহস তা পালালি কেন😂,Negative,BANGLA
আয় বুবু আয় আমরা প্রস্তুত+আয়না ঘর 🤛🤛💪💪,Negative,BANGLA
জুকার,Negative,BANGLA
"আবার কি জন্য আসবা,,,ভোট চুরির জন্য,,,
ছিঃ ছিঃ ছিঃ",Negative,BANGLA
সাকিবের নাগরিকত্ব বাতিল করা হোক,Negative,BANGLA
মাল বেসি খাইছে,Negative,BANGLA
আসলে কুওার মতো পিঠামু,Negative,BANGLA
গন হত্যার বিচার হবেই ইনশাআল্লাহ,Positive,BANGLA
এরা পাল্টি খাওয়া,Negative,BANGLA
একবার এশেইদেখ  যদি সাহস থাকে 😅😅😅😅,Negative,BANGLA
আহ ভাতিজা আহ,Negative,BANGLA
বিশ্ব বেইমান,Negative,BANGLA
আপনাকে দেশের জন্য আবার দরকার,Positive,BANGLA
আসিস আয়না ঘর বানিয়ে গেছিস না  ?,Negative,BANGLA
আমরা আপনাদের পাশে আছি,Positive,BANGLA
সাকিবকে দল থেকে বহিষ্কার করা হোক,Negative,BANGLA
যারা পালটি বাজ তাদের কে কোন দলে রাখার দরকার নেই,Negative,BANGLA
আয় রে ডাইনী তুই আবার আয়,Negative,BANGLA
আওমীলিগ  পাপ করেছে ,Negative,BANGLA
শেক হাসিনা জয় হবে ইনশাআল্লাহ,Positive,BANGLA
সকিব মাশরাফি  কয়কট,Negative,BANGLA
ওরে বাটপাড় ওরে বাটপাড় ওরে বাটপাড় সাকিব।আহো ভাতিজা দেশে আহো।,Negative,BANGLA
"বুবু জনগন ডিম তেরাপি দিব,আসেন বাকি জিবন জেলে কাটান",Negative,BANGLA
লজ্জা শরম নাই না কি?,Negative,BANGLA
"শাকিব,ব্যারিস্টার সুমন,মাশরাফি এদের কে নিষিদ্ধ করা হোক।",Negative,BANGLA
আয়না ঘরে থাকবে,Negative,BANGLA
আওয়ামী লীগ জেগে উঠতে হবে আবার আসবে শেখ হাসিনা সরকার দেশে,Positive,BANGLA
জয় বাংলা জয় বঙ্গবন্ধু।❤❤❤,Positive,BANGLA
"এতো এক নাম্বার বোকাচোদা, যখন যে সরকার তখন আমি তার😂 কিছুদিন আগেও আওয়ামীলীগের একজন এমপির ভোট করে বেড়াচ্ছিল।",Negative,BANGLA
সময় টিভিতে চ*** দেওয়া হোক,Negative,BANGLA
রাজনীতি করছো সুবিধা নিছো এখন হো** মারা খাও।।বা**পাকনা পোলাপান,Negative,BANGLA
গুলিবিদ্ধ ছাত্র-জনতাকে নিয়ে অট্টহাসি হেসেছিল ফাহিম। নাটক কম করো।,Negative,BANGLA
"এ বানচোদ তো নিজেই আওয়ামী লীগ করে। 
কাউন্সিলর রাজিবের এর তলা চাটা কুত্তা",Negative,BANGLA
বরিশাইল্লা শালারে ধর,Negative,BANGLA
তৌহিদ আফ্রিদি যেমন দালাল তুই এমন দালাল ফাহিম,Negative,BANGLA
আরে ফাহিম তুই তো আরো বেশি বড় দালাল,Negative,BANGLA
এক দলালা আরেক দালালের বদনাম বলে  হাহা হা হা,Negative,BANGLA
তোরা সব গুলো বাঞ্চচোদ,Negative,BANGLA
দালাল,Negative,BANGLA
দ্রুত এই শয়তান আফ্রিদিকে আইনের আওতায় আনা হোক,Negative,BANGLA
দালাল টিভি সময়  টিভি,Negative,BANGLA
খানকির পোলা তৌহিদ,Negative,BANGLA
এই খানকির পোলা তৌহিদ আফ্রিদিকে তাড়াতাড়ি আইনের আওতায় আনা হোক,Negative,BANGLA
এসএস মানে সুলেমান সুকন,Negative,BANGLA
ওর বিচার করা দরকার তৌহিদ  বুয়া,Negative,BANGLA
কই আছে সেই মাদারচোদ,Negative,BANGLA
এই তৌহিদ আফ্রিদির বিচার চাই,Negative,BANGLA
এদের আইনের আওতায় আনেন না কেন?,Negative,BANGLA
তুমি কোন বাল হইছো,Negative,BANGLA
কোন ছাড় নয়।বিচার করতে হবে।,Negative,BANGLA
"কোন সময় ই, বোকাচুদা আফ্রিদির ফ্যান ছিলাম না😆হালার ব্লগ দেখে কুত্তাও বমি করে",Negative,BANGLA
সব দালাল,Negative,BANGLA
"তৌহিদ আফ্রিদি কে ঘৃণা করি 🤬

আর এস ফাহিম ভাইয়া অসাধারণ একজন মানুষ ❤💪",Negative,BANGLA
নাটক ভাই সব এখোন নাটক,Negative,BANGLA
কত ছাত্র বুক পেতে দিছে আর তোমরা পালাই ছো,Negative,BANGLA
তৌহিদ আফ্রিদি আর ওর দল সবাইরে আইনের আওতানো দরকার।,Negative,BANGLA
তৌহিদ আফ্রিদির শাস্তি চাই।😡😡😡,Negative,BANGLA
বাংলার মানুষ এত বোকাচোদা না তোমারা  নাটক করাব সব মেনে নিব,Negative,BANGLA
সালমান মুক্তাদির ছাড়া সবগুলোই পলটি বাজ,Negative,BANGLA
"ভুতের ঘাড়ে দোষ চাপানো বন্ধ করেন,",Negative,BANGLA
সব বাটপারি চুর সবগুলো 😂,Negative,BANGLA
এই হালায় বাটপার আওয়ামী লীগের বড় বড় শোডাউন করে,Negative,BANGLA
ওরে আগে আইনের আওতায় আনা দরকার,Negative,BANGLA
বান্ধীর বাচ্চা আফ্রিদিকে পেলেই হলো,Negative,BANGLA
দালালি ছেড়ে এখন খুবই ভদ্র হয়ে গেছে,Negative,BANGLA
প্রিয় নাটক কম করো,Negative,BANGLA
"এর কথা বলার মধ্যেই ভন্ডামি, সবাই এখন পল্টি,  সবাই এখন আন্দোলনকারী",Negative,BANGLA
এই মাগির বাচ্চা আফ্রিদি রে দর,Negative,BANGLA
জারা হুমকি ধমকি দিছে তাদের নাম বলতে এত ভয় কিসের 😂😂,Negative,BANGLA
তানভির তুই একটা দালাল,Negative,BANGLA
এস এস মানে কি সোলাইমান সুখন??,Negative,BANGLA
এই গুলো সব দালাল এবং হলুদ এখন সাধু সাজতে এসেছে।,Negative,BANGLA
এগুলো পলটি বাজ এদের সবাইকে আইনের আওতায় এনে দৃষ্টান্তমূলক শাস্তি দেওয়া হোক,Negative,BANGLA
নাটক,Negative,BANGLA
মামলা করো তাকে,Negative,BANGLA
"সোলেমান সুখনকে আইনের আওতায় আনা হোক। 
আর তৌহিদ আফ্রিদিকেও আনা হোক।",Negative,BANGLA
রাফসান দ্যা ছোট ভাই বড় দালাল।,Negative,BANGLA
সব হালায় দালাল এখন বাচার জন্য এত নাটক,Negative,BANGLA
সময় টিভি দালাল,Negative,BANGLA
নতুন নাটক শুরু করছে আবার 😂😂,Negative,BANGLA
তৌহিদ আফ্ররিদিকে আয়নে আনা হোক পুলিশ কেই দরিয়ে দেওয়া হোক,Negative,BANGLA
তোরা সবগুলা সুযোগবাজি। এখন ফলোয়ার পাওয়ার জন্য এগুলা বলতাসোস। কারন ফালতু ভিডিও দিয়ে টাকা কামাই তোদেরই কাজ,Negative,BANGLA
শকুন,Negative,BANGLA
ছি ছি তৌহিদ,Negative,BANGLA
সোলাইমান সুখন এই নাম লিখতে ভয় পাচ্ছে কেনো সময় টিভি।,Negative,BANGLA
Jokes 😂😂😂😂 এক এক টা,Negative,BANGLA
নাটক কম করো পিও।,Negative,BANGLA
পিঠ বাঁচানোর বাহানা😂,Negative,BANGLA
এই দালাল কেও সরানো দরকার,Negative,BANGLA
ঠিকআছে,Positive,BANGLA
তোমরা যে সবাই ডামাবাজ এটা বাংলার মানুষ জানে প্রিয়,Negative,BANGLA
এই সব ভন্ড এখন সাধু সাজছে🤣,Negative,BANGLA
তুই ও একটা বাটপার,Negative,BANGLA
তৌহিদ আফ্রিদি কে আইনের আওতায় আনা উচিত এবং কঠিন শাস্তি দেওয়া উচিত,Negative,BANGLA
নাটক কম কর বাইনচুদ এটি বুজে মাদারচোদ,Negative,BANGLA
সোলায়মান সুখের পেছনে ডিম থেরাপি দেয়া উচিত,Negative,BANGLA
এরা সবাই অবৈধ হাসিনার দালাল,Negative,BANGLA
কে‌ কি ভাবে বাঁচা যায় সে সেই ভাবে নাটক করতেছে,Negative,BANGLA
SS কে গণপিটুনি দেয়ার সময় এসেছে,Negative,BANGLA
